id,handedness,nationality,residence,language,gender,education,age
60f0ff19f34b192357d7d5d8,Right,American,US,English,Male,Some college,28
5f4f990e0e7da9068d0a9802,right,white,us,english,female,college,40
5f6e1c92b768652fc12d5f62,right,American,United States,English,female,Masters,65
6144f7e2bf25aad25ae610a1,right,usa,usa,english,female,high school graduate,57
6147970dcfd3a1be94292adb,left,American,USA,English,female,Some college,23
5c5c8a688089970001788f30,right,American,United States,English,Female,Bachelor of arts,73
61083a81b73e8f4168364565,right,white,USA,English,female,university degree,32
5fbad6d5bef273b67008d20c,right,US,US,English,female,Bachelor,49
5ec1c41a1f98090e8c119332,Right,American,United States,English,Male,High School Graduate,34
6277cd4fea5f69868617658b,"Right ","American ","United States ","English ","Female ",Bachelors degree,29
57298879dfbb55000903bbbe,Right,United States,United States,English,Male,Masters,48
62aa28c1027ae7d68ef3571c,Right,American,United states of America,English,Female,Associates Degree,20
5e7146ee69a3f1061774803b,left,American,United States,English,female,university degree,50
5bef41fa54277d000114d6ad,Right,American,United States of America,English,Male,College or university degree,26
5efc93cee5498304e29af363,right,American,United States,English,Female,some college,48
616ed044985dca605e572d22,right,American,US,English,female,High school diploma,57
5d05417d1a34960016e7457a,right,USA,USA,English,"female ",some post grad,35
5dde8961a4aa26f2f73d785b,Right,American,United States,English,Female,Bachelors degree,54
614685212685b4cd94233a32,Left,White,Usa,English,Male,High school,33
5eab09eb60ed4e0ae2dc694f,right,USA,USA,English,female,B.A.,65
5f8a1fcf2773900d456a3e70,right,african american,United States,english,female,"some college ",30
5c720c7278263500015665f9,Right,American,United States,English,Male,College Degree,40
6108e0b9b254d1ce92a37b95,Right,Shite,USA,English,Female,High School,32
5b774f493c1375000197ad11,Right,American,United States,English,Female,"Some college ",29
59d75f1b8fd07a0001841feb,right,american,USA,english,male,MBA,68
6138c2a6b71e7db9178095af,right,American,United States,English,Female,University degree,53
5c8198fcf29fd90001a2b9c9,right,american,USA,english,female,associates degree,63
5a1efc2b517dfb00013dd370,Right,USA,USA,English,Male,University degree,32
58ae59babb9e0f0001acb414,right,american,USA,english,male,some college,19
5efe6daf6a2551378201893e,right,American,America,english,Male,HS Grad,51
5a1cddb4087f2e0001eafb99,right,American,United States,English,female,some college,43
5e616b502e8a28067db138a0,LEFT,american,USA,english,female,university degree,23
6061fff2c21e787791b1d052,rights,United States of America,United States,English,female,some college,38
5b2eae5577b17f0001c037af,Left,American,USA,English,Female,High School,54
5d89a31c43734d0001b6a706,right,white,USA,English,"Female ",high school,37
5ef9338e3fa1390009d94b76,Right,USA,USA,Korean,Female,Masters,48
60cd5d87a2ac59cf0b99a5a6,right,American,United States,English,female,Masters degree,54
55d7844969dbc30012b67f69,right,American,USA,english,male,BS,57
5dd31c4a92371d32f2fa607a,right,american,usa,english,other,university degree,38
5d86d05f9854a60019240621,right,"American ","United States ",English,"female ","Masters ",49
5e13ad514c81b2a01ae4aa9f,right,American,United States,English,cis woman,College degree,34
58a63a64ea3d11000170e1cc,right,American,United States,English,male,High School graduate,34
5e5553e6bcdb1e55a43c78f7,Right,United States,United States,English,Male,"Some college, no degree",62
5dcde46dee78f20a4bb785c6,Right,USA,USA,English,Female,Associates,43
5f0c61f219803a07239a4269,right,american,usa,english,female,high school,39
611eb5db46ee495d60b16aae,Left,United States,United States,English,Other,College Degree,47
5cb882d33f0af9000159e00f,"Right ","United States ",United States,En,Female,High school,60
597fe89a1b41a20001749f57,right,american,usa,english,female,masters,44
5ca229d63861e700154363bd,Right,USA,USA,English,Male,PhD,39
5b7aa12ea545240001d93c98,Right,American,United States,English,Transgender Male,Bachelors Degree,26
5ea63c8ef78a7164acfa7599,right,american,USA,english,female,masters,39
5afa5252672ea800010d97e6,right,american,united states,english,female,masters,35
60baaa995c09d3162511871d,right,USA,USA,english,Male,Some College,36
5da8b26395be5f0017360ad5,left,american,United States,english,female,Some college,42
60965962e523358592059dcb,right,american,usa,english,female,masters,72
628bd28fc02600d0f26d8273,left,white,usa,english,male,some college,67
5ba3de31fcf3440001cd4bc1,right,american,usa,english,female,uni degree,38
613930f9c3c440ef9a34bf02,Right,American,United States,English,Female,Bachelors Degree,60
616f315b5e74ca5b9a1d2ca7,Right,American,USA,English,male,College degree,56
5c223d4a4a7e1f000137e5b9,Right,American,United States,English,Male,Masters,34
56259489ed6e5a0005c80fde,Right,American,USA,English,Male,High school,36
5fde4292a4d8245990ada5bc,right,American,United States,English,Female,Bachelor Degree,70
5eea18fc3e537f0c21f2e9df,left,American,U.S.,English,female,vocational degree and some college,41
607134f478e13587bd89e13a,Right,"American ",USA,English,Female,College Degree,28
5cb5ff63931852001cf69b28,Left,USA,USA,English,Male,Bachelors Degree,39
5f0b72abf1f9950dce8c0f1e,right,american,United States,english,male,high school,25
61088c529cff73b187d19e6d,right,american,usa,english,female,bachelors,40
6151f8d17451289b4a59a6a8,left,usa,usa,english,male,mfa,81
6101930ddd5330f83b898c61,Right,American,United States,English,Female,High School,21
60fe2fed581d95673bd181af,Right,American,USA,English,Female,"H.S ",19
62b35a7d9d9cd966ebcf3ef8,right,American,USA,English,female,some college,60
5eb074c7e612c1129942044c,right,US,US,english,male,College degree,49
61fa94015719bc09cb834e2e,Right,US,US,English,male,Masters,49
62897d2024f826ea90b7efa1,right,USA,USA,English,Female,College degree,69
615b76e05c1c5a26e46f1b3e,Right,Asian American,United States,English,Nonbinary,Some College,28
5e09ffd8fa3d102a583771c1,Right,United States of America,United States of America,English,Female,College or university degree,34
5a9a6f5f35237b000112920f,RIGHT,AMERICAN,United States,ENGLISH,FEMALE,High school,54
610865cdf66565d530d618c5,Right,USA,USA,English,Female,Associates,59
5d49a0b751695e0001a188a8,right,american,USA,english,female,university degree,58
5b133bba30d562000155dc2e,right,USA American,USA,English,Female,College Graduate,44
5b33a01fa8327d0001003821,Right,USA,USA,English,Female,High school graduate,69
5df27b81acd5ce18b4bd225c,left,American,USA,English,male,BA,57
5ec75df0d799ae1c11a8115c,Right,American,America,English,Female,Bachelors Degree,22
55b2d3f2fdf99b525bc839aa,right,american,usa,english,male,bachelor,35
61095a37fbf7b13d6f7f2f5b,right,American,USA,English,Female,College degree,29
5cbc97cd214b1a0001ccfa53,Right,American,USA,English,Female,Masters,70
61206e8d3e6a6ccdd064637c,Right,USA,United States,English,Male,Some college,61
58742bf5d53c97000159df8c,Right,American,USA,English,Female,Some college or university,33
604fc38a4de8e6e1e0e0ea7b,Right,American,USA,English,Female,High school graduate,33
58ed2be2a083320001a13783,Right,American,USA,English,Female,some college,38
62b146e365eca239ef0dbbfb,Right,Asian American,USA,Korean,Female,Associate Degree,41
5dcc3ec7db13278d75c8622f,Right,American,USA,English,female,BS,37
59dc458f77860e000151240e,Right,American,United States,English,Male,Some college or university,39
5d41e832b0ca7200169d857e,Right,American,United States of America,English,male,Masters,84
62a889993e01c9e01ee7066e,Right,US,US,English,Female,Masters,45
5d53bffa147a7d00015aae5a,right,american,usa,english,female,college degree,29
60d13d406f3b34d6791c8831,Right,American,United States of America,English,Male,Some college,25
616d9ef881036dfbfd63d2f4,Right,american,united estates,english,Male,Graduate degree,33
