id,handedness,nationality,residence,language,gender,education,age
5a2add709408dc00016f57d3,right,american,united states,english,female,some college,30
5d8b68e5140c8a00173dbb26,right,mexican american,united states,spanish,male,associates,22
5746f1955e549100063b3c45,right,American,United States,english,Male,4 year college degree,38
615e338de22ea1c7fe8dec3f,right,American,USA,english,male,some college,34
5dd00a19b51b3e103a6f50c8,Right,United States,United States,English,Female,Masters,49
5eecf79232fae00d585cd6f4,Right,American,United States,English,Female,College Degree,22
5e35e01b5bfa43595d69621d,right,USA,USA,"English ",Female,some college,57
5ed67ff47f3ee30bb86925f5,left,USA,USA,English,male,Masters,68
6101d3dd8a5037f20dfc505f,Left,American,USA,English,Female,Some college,19
5f3c2648a9ef86a4c10de377,"Left ",American (Italian/Irish/Polish-American),United States,English,Male,"College Degree ",33
