id,vignette_name,generation_number,generation_time,response,reflection_score
5ea511caa6974a4e8de26ac1,Heinz,0,13254,get a second job,62
5ea511caa6974a4e8de26ac1,Heinz,1,6792,sell things,85
5ea511caa6974a4e8de26ac1,Heinz,2,8746,do a gofundme,68
5ea511caa6974a4e8de26ac1,Heinz,3,18489,go to a loan shark,0
5ea511caa6974a4e8de26ac1,Heinz,4,10357,petition his insurance company,100
5ea511caa6974a4e8de26ac1,Heinz,5,3889,apply for grants,100
5ea511caa6974a4e8de26ac1,Liz,0,13468,ask the front desk to leave a message,86
5ea511caa6974a4e8de26ac1,Liz,1,4967,simply leave her friend hanging,0
5ea511caa6974a4e8de26ac1,Liz,2,7126,go back to the office and contact her friend,19
5ea511caa6974a4e8de26ac1,Liz,3,16334,ask for a one time use of the gym,100
5ea511caa6974a4e8de26ac1,Liz,4,7017,ask someone else to relay a message,79
5ea511caa6974a4e8de26ac1,Liz,5,20058,try contacting her another way,100
5ea511caa6974a4e8de26ac1,Josh,0,10581,call a uber,89
5ea511caa6974a4e8de26ac1,Josh,1,3078,call a lyft,93
5ea511caa6974a4e8de26ac1,Josh,2,21937,think about his life choices since he wanted to go to a vacation to kill animals. then stay home,100
5ea511caa6974a4e8de26ac1,Josh,3,13571,ask passersby for help,1
5ea511caa6974a4e8de26ac1,Josh,4,3747,get on a later flight,50
5ea511caa6974a4e8de26ac1,Josh,5,10488,take public transit,100
5ea511caa6974a4e8de26ac1,Brian,0,13481,recount the money,100
5ea511caa6974a4e8de26ac1,Brian,1,16779,ask his employer what to do,100
5ea511caa6974a4e8de26ac1,Brian,2,3533,use tip money,0
5ea511caa6974a4e8de26ac1,Brian,3,16159,quit his job,0
5ea511caa6974a4e8de26ac1,Brian,4,30020,ask his manager about the missing money,100
5ea511caa6974a4e8de26ac1,Brian,5,26962,find the culprit,8
60f1ddf2ba77ba7c771c936c,Josh,0,21837,Sit in his car and cry,19
60f1ddf2ba77ba7c771c936c,Josh,1,23086,Steal a private plane and fly it himself,1
60f1ddf2ba77ba7c771c936c,Josh,2,24021,Begin performing on the street for money and use that money to buy another flight,32
60f1ddf2ba77ba7c771c936c,Josh,3,27965,Try to swim to the nearest airport,0
60f1ddf2ba77ba7c771c936c,Josh,4,11847,Push his broken down car for a while,38
60f1ddf2ba77ba7c771c936c,Josh,5,10895,Jump off a bridge,0
60f1ddf2ba77ba7c771c936c,Liz,1,10646,Get on the news and tell friend the story,15
60f1ddf2ba77ba7c771c936c,Liz,2,25680,Drive to the nearest payphone,43
60f1ddf2ba77ba7c771c936c,Liz,3,12118,Scream in the lobby and make a scene until the friend shows up,10
60f1ddf2ba77ba7c771c936c,Liz,4,8663,Call in a threat that requires evacuation of the gym,0
60f1ddf2ba77ba7c771c936c,Liz,5,14203,"Pose as a workout instructor ",39
60f1ddf2ba77ba7c771c936c,Heinz,0,10832,Steal the medication from the pharmacy,36
60f1ddf2ba77ba7c771c936c,Heinz,1,12034,Ask doctor if there are alternative treatments,79
60f1ddf2ba77ba7c771c936c,Heinz,2,21748,"Research natural remedies ",55
60f1ddf2ba77ba7c771c936c,Heinz,3,14597,Rob a bank,0
60f1ddf2ba77ba7c771c936c,Heinz,4,167021,Kill his wife,0
60f1ddf2ba77ba7c771c936c,Heinz,5,11650,Go to a natural healer and pray,42
60f1ddf2ba77ba7c771c936c,Brian,0,8294,Quit his job,17
60f1ddf2ba77ba7c771c936c,Brian,1,28895,Replace the money with an international currency,42
60f1ddf2ba77ba7c771c936c,Brian,2,7076,Hire an accountant and bribe the accountant,15
60f1ddf2ba77ba7c771c936c,Brian,3,14350,Burn the entire cash box,0
60f1ddf2ba77ba7c771c936c,Brian,4,3312,Set the business on fire,0
60f1ddf2ba77ba7c771c936c,Brian,5,8844,Fake a robbery,0
5c0676a61a20110001ea1a24,Josh,0,96613,He could push the vehicle into the nearest public lot and let the business owner know his situation and ask that they allow him to leave his car there until he returns.,84
5c0676a61a20110001ea1a24,Josh,1,51348,He could contact the airline and explain his dilemma and see if they can arrange him to take a later flight.,68
5c0676a61a20110001ea1a24,Josh,2,48886,He could abandon the car and proceed to the airport.,16
5c0676a61a20110001ea1a24,Josh,3,61260,"He could offer the car to a passerby and ask them to take it off his hands, promising to do the title transfer when he returns.",43
